[Header]
Application Name	LabSolutions
0,81650	-286
0,81717	-286
0,81783	-286
0,81850	-286
0,81917	-286
0,81983	-286
0,82050	-286
0,82117	-286
0,82183	-286
0,82250	-287
0,82317	-287
0,82383	-287
0,82450	-287
0,82517	-288
0,82583	-288
0,82650	-288
0,82717	-288
0,82783	-288
0,82850	-288
0,82917	-287
0,82983	-287
0,83050	-287
0,83117	-287
0,83183	-287
0,83250	-286
0,83317	-286
0,83383	-286
0,83450	-286
0,83517	-286
0,83583	-286
0,83650	-286
0,83717	-286
0,83783	-286
0,83850	-287
0,83917	-287
0,83983	-287
0,84050	-287
0,84117	-287
0,84183	-287
0,84250	-287
0,84317	-288
0,84383	-288
0,84450	-288
0,84517	-288
0,84583	-288
0,84650	-288
0,84717	-288
0,84783	-288
0,84850	-288
0,84917	-289
0,84983	-289
0,85050	-289
0,85117	-289
0,85183	-289
0,85250	-289
0,85317	-289
0,85383	-289
0,85450	-289
0,85517	-289
0,85583	-290
0,85650	-290
0,85717	-290
0,85783	-290
0,85850	-290
0,85917	-290
0,85983	-290
0,86050	-290
0,86117	-291
0,86183	-291
0,86250	-291
0,86317	-291
0,86383	-291
0,86450	-291
0,86517	-291
0,86583	-292
0,86650	-292
0,86717	-292
0,86783	-292
0,86850	-292
0,86917	-292
0,86983	-292
0,87050	-292
0,87117	-292
0,87183	-291
0,87250	-291
0,87317	-291
0,87383	-291
0,87450	-291
0,87517	-291
0,87583	-291
0,87650	-291
0,87717	-291
0,87783	-291
0,87850	-291
0,87917	-291
0,87983	-290
0,88050	-290
0,88117	-290
0,88183	-290
0,88250	-290
0,88317	-290
0,88383	-290
0,88450	-290
0,88517	-290
0,88583	-290
0,88650	-290
0,88717	-290
0,88783	-290
0,88850	-290
0,88917	-290
0,88983	-291
0,89050	-291
0,89117	-291
0,89183	-292
0,89250	-292
0,89317	-292
0,89383	-292
0,89450	-291
0,89517	-291
0,89583	-291
0,89650	-291
0,89717	-291
0,89783	-291
0,89850	-291
0,89917	-291
0,89983	-291
0,90050	-291
0,90117	-291
0,90183	-291
0,90250	-291
0,90317	-291
0,90383	-291
0,90450	-291
0,90517	-291
0,90583	-292
0,90650	-292
0,90717	-292
0,90783	-292
0,90850	-293
0,90917	-293
0,90983	-294
0,91050	-294
0,91117	-294
0,91183	-295
0,91250	-295
0,91317	-295
